Ensembl	Gene_Name	ProbeID	Average_RMA	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes 	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000059142	A630033E08Rik	1437128_a_at	6.61	2.2156E-13	5.36	3.9238E-11	1	2	3	protein_coding	17	22985997	RIKEN cDNA A630033E08 gene Gene [Source:MGI Symbol;Acc:MGI:2445132]
ENSMUSG00000034377	Tulp4	1434585_at	7.39	2.9741E-13	2.63	5.1619E-11	1	1	2	protein_coding	17	6106437	tubby like protein 4 Gene [Source:MGI (curated);Acc:MGI:1916092]
ENSMUSG00000025089	Gfra1	1439015_at	8.81	3.9788E-13	1.76	6.7702E-11	1	2	1	protein_coding	19	58310094	glial cell line derived neurotrophic factor family receptor alpha 1 Gene [Source:MGI (curated);Acc:MGI:1100842]
ENSMUSG00000030760	Acer3	1438435_at	6.51	4.2127E-13	3.33	7.0304E-11	1	3	4	protein_coding	7	105362168	alkaline ceramidase 3 Gene [Source:MGI (curated);Acc:MGI:1913440]
ENSMUSG00000003464	Pex19	1455208_at	6.31	4.2979E-13	2.38	7.0372E-11	1	3	4	protein_coding	1	174056886	peroxisomal biogenesis factor 19 Gene [Source:MGI (curated);Acc:MGI:1334458]
ENSMUSG00000005804	Pldn	1457088_at	6.44	5.8896E-13	0.25	9.4648E-11	1	3	4	protein_coding	2	122564239	pallidin Gene [Source:MGI (curated);Acc:MGI:1927580]
ENSMUSG00000087566	AC159313.1	1435704_at	5.33	6.7003E-13	3.49	1.0572E-10	1	1	2	lincRNA	9	78023721	N/A
ENSMUSG00000033808	Tmem87a	1424454_at	8.01	7.2546E-13	0.17	1.1242E-10	1	1	2	protein_coding	2	120181048	transmembrane protein 87A Gene [Source:MGI (curated);Acc:MGI:2441844]
ENSMUSG00000003778	Brd8	1456351_at	7.39	8.1905E-13	0.36	1.2255E-10	1	6	4	protein_coding	18	34758269	bromodomain containing 8 Gene [Source:MGI (curated);Acc:MGI:1925906]
ENSMUSG00000003660	Snrnp200	1454772_at	6.34	8.1492E-13	2.52	1.2255E-10	1	2	3	protein_coding	2	127034122	small nuclear ribonucleoprotein 200 (U5) Gene [Source:MGI (curated);Acc:MGI:2444401]
ENSMUSG00000044783	Hjurp	1454686_at	7.00	8.5835E-13	2.20	1.2527E-10	1	3	1	protein_coding	1	90159046	Holliday junction recognition protein Gene [Source:MGI (curated);Acc:MGI:2685821]
ENSMUSG00000026113	Inpp4a	1436616_at	10.26	8.6611E-13	0.30	1.2527E-10	1	2	1	protein_coding	1	37356710	"inositol polyphosphate-4-phosphatase, type I Gene [Source:MGI (curated);Acc:MGI:1931123]"
ENSMUSG00000053644	Aldh7a1	1460167_at	9.09	9.0380E-13	1.69	1.2704E-10	1	1	2	protein_coding	18	56686402	"aldehyde dehydrogenase family 7, member A1 Gene [Source:MGI Symbol;Acc:MGI:108186]"
ENSMUSG00000032932	Hspa13	1453172_at	9.45	9.0761E-13	0.26	1.2704E-10	1	4	5	protein_coding	16	75755435	"heat shock protein 70 family, member 13 Gene [Source:MGI (curated);Acc:MGI:1309463]"
ENSMUSG00000068040	Tm9sf4	1423205_at	8.07	1.0493E-12	2.06	1.4228E-10	1	2	1	protein_coding	2	152987037	transmembrane 9 superfamily protein member 4 Gene [Source:MGI (curated);Acc:MGI:2139220]
ENSMUSG00000058301	Upf1	1419685_at	6.45	1.0383E-12	1.82	1.4228E-10	1	1	2	protein_coding	8	72855432	UPF1 regulator of nonsense transcripts homolog (yeast) Gene [Source:MGI Symbol;Acc:MGI:107995]
ENSMUSG00000062519	Zfp398	1458003_at	5.23	1.0907E-12	0.25	1.4562E-10	1	3	4	protein_coding	6	47785660	zinc finger protein 398 Gene [Source:MGI (curated);Acc:MGI:1917856]
ENSMUSG00000009013	Dynll1	1440278_at	6.96	1.1752E-12	2.24	1.5452E-10	1	1	2	protein_coding	5	115747119	dynein light chain LC8-type 1 Gene [Source:MGI (curated);Acc:MGI:1861457]
ENSMUSG00000040483	Xaf1	1443621_at	6.14	1.4337E-12	0.32	1.8570E-10	1	1	2	protein_coding	11	72115131	XIAP associated factor 1 Gene [Source:MGI (curated);Acc:MGI:3772572]
ENSMUSG00000024370	Cdc23	1443087_at	4.03	1.5533E-12	2.17	1.9823E-10	1	2	4	protein_coding	18	34790605	"CDC23 (cell division cycle 23, yeast, homolog) Gene [Source:MGI (curated);Acc:MGI:1098815]"
ENSMUSG00000024120	Lrpprc	1424353_at	8.80	1.7651E-12	1.61	2.2199E-10	1	1	2	protein_coding	17	85104587	leucine-rich PPR-motif containing Gene [Source:MGI (curated);Acc:MGI:1919666]
ENSMUSG00000042210	Abhd14a	1425699_a_at	8.45	1.9427E-12	1.78	2.4083E-10	1	1	2	protein_coding	9	106342385	abhydrolase domain containing 14A Gene [Source:MGI Symbol;Acc:MGI:1915894]
ENSMUSG00000078584	AU022252	1442124_at	6.48	2.2322E-12	2.69	2.6594E-10	1	3	4	protein_coding	4	118876175	Uncharacterized protein C1orf50 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q5EBG8]
ENSMUSG00000033526	Hisppd2a	1442466_a_at	7.29	2.2224E-12	2.36	2.6594E-10	1	2	3	protein_coding	2	121136297	diphosphoinositol pentakisphosphate kinase 1 Gene [Source:MGI (curated);Acc:MGI:2443281]
ENSMUSG00000025949	Pikfyve	1422994_at	5.77	2.2570E-12	3.00	2.6594E-10	1	2	1	protein_coding	1	65233259	"phosphoinositide kinase, FYVE finger containing Gene [Source:MGI Symbol;Acc:MGI:1335106]"
ENSMUSG00000012405	Rpl15	1434328_at	10.82	2.2678E-12	0.61	2.6594E-10	1	1	2	protein_coding	14	19100337	ribosomal protein L15 Gene [Source:MGI (curated);Acc:MGI:1913730]
ENSMUSG00000032320	Rcn2	1444248_at	5.61	2.3657E-12	2.84	2.7373E-10	1	1	2	protein_coding	9	55889652	reticulocalbin 2 Gene [Source:MGI (curated);Acc:MGI:1349765]
ENSMUSG00000045967	Gpr158	1438526_at	4.63	2.5607E-12	4.01	2.8860E-10	1	2	4	protein_coding	2	21289169	G protein-coupled receptor 158 Gene [Source:MGI (curated);Acc:MGI:2441697]
ENSMUSG00000031864	Ints10	1439712_at	5.63	2.5350E-12	0.17	2.8860E-10	1	3	5	protein_coding	8	71317828	integrator complex subunit 10 Gene [Source:MGI (curated);Acc:MGI:1918135]
ENSMUSG00000043671	Dpy19l3	1437858_at	6.91	2.7015E-12	1.89	3.0055E-10	1	3	3	protein_coding	7	36470184	dpy-19-like 3 (C. elegans) Gene [Source:MGI (curated);Acc:MGI:2443952]
ENSMUSG00000027339	Rassf2	1443998_at	4.92	4.1679E-12	2.29	4.5783E-10	1	2	4	protein_coding	2	131815151	Ras association (RalGDS/AF-6) domain family member 2 Gene [Source:MGI (curated);Acc:MGI:2442060]
ENSMUSG00000029461	Fam168a	1434375_at	10.41	4.4866E-12	1.79	4.7481E-10	1	4	4	protein_coding	7	107855165	"family with sequence similarity 168, member A Gene [Source:MGI Symbol;Acc:MGI:2442372]"
ENSMUSG00000071984	Fndc1	1453321_at	7.04	4.4380E-12	0.51	4.7481E-10	1	1	2	protein_coding	17	7931433	fibronectin type III domain containing 1 Gene [Source:MGI Symbol;Acc:MGI:1915905]
ENSMUSG00000020459	Mtif2	1415685_at	8.30	4.4288E-12	1.75	4.7481E-10	1	1	2	protein_coding	11	29426408	mitochondrial translational initiation factor 2 Gene [Source:MGI (curated);Acc:MGI:1924034]
ENSMUSG00000021597	Ankrd32	1430047_at	5.00	6.4410E-12	2.57	6.6541E-10	1	2	1	protein_coding	13	77182349	ankyrin repeat domain 32 Gene [Source:MGI (curated);Acc:MGI:2145448]
ENSMUSG00000024515	Smad4	1422485_at	9.48	6.3701E-12	1.71	6.6541E-10	1	3	4	protein_coding	18	73798663	MAD homolog 4 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:894293]
ENSMUSG00000032115	Hyou1	1423290_at	7.81	7.5740E-12	0.48	7.7326E-10	1	2	1	protein_coding	9	44187573	hypoxia up-regulated 1 Gene [Source:MGI (curated);Acc:MGI:108030]
ENSMUSG00000029064	Gnb1	1454696_at	11.23	7.8407E-12	0.27	7.9117E-10	1	2	1	protein_coding	4	154865479	"guanine nucleotide binding protein (G protein), beta 1 Gene [Source:MGI (curated);Acc:MGI:95781]"
ENSMUSG00000028957	Per3	1460662_at	6.16	8.1540E-12	0.29	8.1333E-10	1	4	4	protein_coding	4	150377761	period homolog 3 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:1277134]
ENSMUSG00000036905	C1qb	1417063_at	8.76	8.2797E-12	1.85	8.1649E-10	1	2	4	protein_coding	4	136436044	"complement component 1, q subcomponent, beta polypeptide Gene [Source:MGI (curated);Acc:MGI:88224]"
ENSMUSG00000073643	Wdfy1	1435588_at	7.31	9.4675E-12	0.31	9.2313E-10	1	3	1	protein_coding	1	79698837	WD repeat and FYVE domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1916618]
ENSMUSG00000043542	Fam164a	1428417_at	8.72	9.7974E-12	2.46	9.4468E-10	1	2	4	protein_coding	3	7503426	"family with sequence similarity 164, member A Gene [Source:MGI Symbol;Acc:MGI:1914556]"
ENSMUSG00000010651	Acaa1b	1416946_a_at	8.41	1.0122E-11	1.73	9.6529E-10	1	1	2	protein_coding	9	119057141	acetyl-Coenzyme A acyltransferase 1B Gene [Source:MGI (curated);Acc:MGI:3605455]
ENSMUSG00000072572	Slc39a2	1443163_at	6.43	1.2654E-11	2.23	1.1936E-09	1	1	2	protein_coding	14	52512564	"solute carrier family 39 (zinc transporter), member 2 Gene [Source:MGI (curated);Acc:MGI:2684326]"
ENSMUSG00000033943	Mga	1431232_a_at	8.07	1.3840E-11	2.14	1.2914E-09	1	3	5	protein_coding	2	119722964	MAX gene associated Gene [Source:MGI (curated);Acc:MGI:1352483]
ENSMUSG00000025451	Paip1	1425521_at	6.11	1.5087E-11	0.07	1.3928E-09	1	2	4	protein_coding	13	120217407	polyadenylate binding protein-interacting protein 1 Gene [Source:MGI (curated);Acc:MGI:2384993]
ENSMUSG00000026335	Pam	1418908_at	8.32	1.5360E-11	0.25	1.4031E-09	1	1	2	protein_coding	1	99691691	peptidylglycine alpha-amidating monooxygenase Gene [Source:MGI (curated);Acc:MGI:97475]
ENSMUSG00000052270	Fpr2	1422953_at	6.17	1.9424E-11	0.43	1.7378E-09	1	1	2	protein_coding	17	18024788	formyl peptide receptor 2 Gene [Source:MGI (curated);Acc:MGI:1278319]
ENSMUSG00000069041	Slc25a31	1453133_at	3.88	1.9264E-11	0.40	1.7378E-09	1	1	2	protein_coding	3	40512777	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 Gene [Source:MGI (curated);Acc:MGI:1920583]"
ENSMUSG00000032024	9030425E11Rik	1448250_at	7.89	2.0459E-11	2.01	1.8117E-09	1	2	1	protein_coding	9	40494045	RIKEN cDNA 9030425E11 gene Gene [Source:MGI Symbol;Acc:MGI:1918816]
ENSMUSG00000032932	Hspa13	1430026_at	7.45	2.1793E-11	0.38	1.9103E-09	1	4	5	protein_coding	16	75755435	"heat shock protein 70 family, member 13 Gene [Source:MGI (curated);Acc:MGI:1309463]"
ENSMUSG00000026414	Tnnt2	1418726_a_at	4.31	2.2646E-11	2.38	1.9652E-09	1	1	2	protein_coding	1	137737452	"troponin T2, cardiac Gene [Source:MGI Symbol;Acc:MGI:104597]"
ENSMUSG00000042369	Rbm45	1437904_at	8.31	2.3873E-11	0.33	2.0512E-09	1	1	2	protein_coding	2	76208041	RNA binding motif protein 45 Gene [Source:MGI (curated);Acc:MGI:2387367]
ENSMUSG00000035726	Supt16h	1449578_at	6.42	2.4978E-11	0.18	2.1138E-09	1	2	1	protein_coding	14	52780092	suppressor of Ty 16 homolog (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1890948]
ENSMUSG00000085492	Trmt61b	1437481_at	7.25	2.5089E-11	1.76	2.1138E-09	1	1	2	processed_transcript	17	71906367	tRNA methyltransferase 61 homolog B (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1916039]
ENSMUSG00000036860	Mrpl55	1429453_a_at	8.74	2.6087E-11	1.53	2.1768E-09	1	1	2	protein_coding	11	59015988	mitochondrial ribosomal protein L55 Gene [Source:MGI (curated);Acc:MGI:1914462]
ENSMUSG00000028573	Fggy	1452799_at	6.09	2.8421E-11	2.92	2.3489E-09	1	1	2	protein_coding	4	95224198	FGGY carbohydrate kinase domain containing Gene [Source:MGI (curated);Acc:MGI:1922828]
ENSMUSG00000030532	Hddc3	1428692_at	8.34	3.0093E-11	0.34	2.4637E-09	1	2	4	protein_coding	7	87488023	HD domain containing 3 Gene [Source:MGI Symbol;Acc:MGI:1915945]
ENSMUSG00000086496	RP23-392P11.4	1441203_at	7.84	3.1154E-11	0.65	2.5267E-09	1	1	2	processed_transcript	2	158421208	N/A
ENSMUSG00000029705	Cux1	1424668_a_at	5.68	3.5169E-11	1.98	2.7999E-09	1	4	4	protein_coding	5	136724005	cut-like homeobox 1 Gene [Source:MGI Symbol;Acc:MGI:88568]
ENSMUSG00000030209	Grin2b	1422223_at	7.11	3.5061E-11	3.53	2.7999E-09	1	2	1	protein_coding	6	135679844	"glutamate receptor, ionotropic, NMDA2B (epsilon 2) Gene [Source:MGI (curated);Acc:MGI:95821]"
ENSMUSG00000000326	Comt1	1418701_at	8.22	3.6436E-11	0.42	2.8744E-09	1	2	4	protein_coding	16	18407439	catechol-O-methyltransferase 1 Gene [Source:MGI (curated);Acc:MGI:88470]
ENSMUSG00000018378	Cuedc1	1451447_at	7.11	3.8894E-11	0.22	3.0407E-09	1	3	4	protein_coding	11	87912648	CUE domain containing 1 Gene [Source:MGI (curated);Acc:MGI:2144281]
ENSMUSG00000028393	Alad	1424877_a_at	8.85	4.0362E-11	0.40	3.1274E-09	1	1	2	protein_coding	4	62170203	"aminolevulinate, delta-, dehydratase Gene [Source:MGI (curated);Acc:MGI:96853]"
ENSMUSG00000073643	Wdfy1	1437358_at	8.83	4.0916E-11	0.33	3.1422E-09	1	3	1	protein_coding	1	79698837	WD repeat and FYVE domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1916618]
ENSMUSG00000072694	2610524H06Rik	1456857_at	8.36	4.5993E-11	0.52	3.5003E-09	1	3	5	protein_coding	5	115258205	RIKEN cDNA 1500011B03 gene Gene [Source:MGI Symbol;Acc:MGI:1913486]
ENSMUSG00000011254	Thg1l	1432393_a_at	6.00	4.6385E-11	0.47	3.5003E-09	1	1	2	protein_coding	11	45760345	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1913878]
ENSMUSG00000018481	Appbp2	1451251_at	9.95	5.0440E-11	2.25	3.7734E-09	1	4	4	protein_coding	11	85000764	amyloid beta precursor protein (cytoplasmic tail) binding protein 2 Gene [Source:MGI (curated);Acc:MGI:1914134]
ENSMUSG00000028959	Fastk	1460635_at	8.36	5.1533E-11	1.67	3.8222E-09	1	1	2	protein_coding	5	23944258	Fas-activated serine/threonine kinase Gene [Source:MGI (curated);Acc:MGI:1913837]
ENSMUSG00000028656	Cap1	1417461_at	9.51	5.5581E-11	0.07	4.0746E-09	1	2	1	protein_coding	4	122536290	"CAP, adenylate cyclase-associated protein 1 (yeast) Gene [Source:MGI (curated);Acc:MGI:88262]"
ENSMUSG00000033392	Clasp2	1424836_a_at	10.24	5.5875E-11	0.32	4.0746E-09	1	4	4	protein_coding	9	113650591	CLIP associating protein 2 Gene [Source:MGI Symbol;Acc:MGI:1923749]
ENSMUSG00000063632	Sox11	1453125_at	8.44	5.6778E-11	0.43	4.1060E-09	1	4	5	protein_coding	12	28019129	SRY-box containing gene 11 Gene [Source:MGI (curated);Acc:MGI:98359]
ENSMUSG00000020922	Lsm12	1429509_at	6.85	5.8392E-11	0.28	4.1535E-09	1	2	1	protein_coding	11	102023811	LSM12 homolog (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1919592]
ENSMUSG00000020922	Lsm12	1427998_at	6.92	5.8349E-11	0.37	4.1535E-09	1	2	1	protein_coding	11	102023811	LSM12 homolog (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1919592]
ENSMUSG00000032425	4930422I07Rik	1458491_at	7.77	5.9993E-11	0.49	4.2327E-09	1	2	1	protein_coding	9	88442858	RIKEN cDNA 4930422I07 gene Gene [Source:MGI Symbol;Acc:MGI:1918890]
ENSMUSG00000027397	Slc20a1	1438824_at	4.27	6.2211E-11	2.82	4.3538E-09	1	3	3	protein_coding	2	129024500	"solute carrier family 20, member 1 Gene [Source:MGI (curated);Acc:MGI:108392]"
